Epic,Story,Type,Priority,Estimate(days),Week,Description,Acceptance Criteria
Epic 1: CDO基础设施,US1.1: 启动精简版CDO服务器,Story,Critical,0.5,Week 1,"配置单Repository无分支无版本,使用MEMStore快速验证","telnet localhost 2036 成功"
Epic 1: CDO基础设施,US1.2: CDO客户端连接,Story,Critical,0.5,Week 1,"创建CDOSession测试连接","session.isOpen() == true"
Epic 1: CDO基础设施,US1.3: 性能Smoke Test,Story,High,1,Week 1,"JUnit测试500元素load/commit时间","commit < 1秒"
Epic 2: EMF模型层,US2.1: 导入SysML v2元模型,Story,Critical,1,Week 1-2,"复制sysml_clean.ecore并生成Java代码","SysMLFactory可用"
Epic 2: EMF模型层,US2.2: 模型工厂能力,Story,Critical,1,Week 2,"创建PartDefinition、RequirementDefinition","10种核心元素可创建"
Epic 2: EMF模型层,US2.3: 早期性能基线,Story,High,1,Week 2,"创建1000元素的测试模型","建立性能基准数据"
Epic 3A: 核心持久化,US3A.1: H2文件存储,Story,Critical,1.5,Week 3,"MEMStore迁移到H2Store","数据重启后存在"
Epic 3A: 核心持久化,US3A.2: 基础CRUD操作,Story,Critical,2,Week 3,"实现Create/Read/Update/Delete和自动commit","完整CRUD测试通过"
Epic 3A: 核心持久化,US3A.3: Desktop离线验证,Story,High,1.5,Week 3-4,"导出XMI文件,Sirius Desktop验证","所有字段正确显示"
Epic 3B: 高级特性,US3B.1: 事务与回滚,Story,Medium,1,Week 4,"手动事务控制和回滚机制","回滚测试通过"
Epic 3B: 高级特性,US3B.2: Repository模式,Story,High,1,Week 4,"SystemRepository和RequirementRepository","类型化查询可用"
Epic 3B: 高级特性,US3B.3: 模型验证服务,Story,High,1,Week 4,"OCL/Java校验器防止脏数据","无效数据被拒绝"
Epic 4-α: 需求+结构,US4A.1: 需求管理服务,Story,Critical,2,Week 5,"需求层次创建和分配","需求可分配到组件"
Epic 4-α: 需求+结构,US4A.2: 结构建模服务,Story,Critical,2,Week 5-6,"系统分解结构和组件定义","创建50+组件的系统"
Epic 4-α: 需求+结构,US4A.3: Desktop UI验证,Story,High,1,Week 6,"Sirius Desktop图形验证","需求-组件关系可视化"
Epic 4-β: 接口+追溯,US4B.1: 接口管理服务,Story,Medium,1.5,Week 6,"接口定义和端口连接","接口兼容性检查"
Epic 4-β: 接口+追溯,US4B.2: 追溯管理服务,Story,Medium,1.5,Week 6,"追溯关系建立和覆盖率分析","追溯矩阵生成"
Epic 5: GraphQL API,US5.1: Schema定义,Story,Critical,1.5,Week 7,"Type定义和Query/Mutation","GraphQL Playground可用"
Epic 5: GraphQL API,US5.2: 核心查询接口,Story,Critical,2,Week 7,"系统查询和需求查询","复杂查询测试"
Epic 5: GraphQL API,US5.3: 实时订阅,Story,High,1.5,Week 7,"WebSocket支持和模型变更推送","实时同步测试"
Epic 6: Sirius Web,US6.1: 基础集成,Story,Critical,2,Week 8,"Sirius Web启动和GraphQL连接","Web界面可访问"
Epic 6: Sirius Web,US6.2: 模型浏览器,Story,Critical,1.5,Week 8,"树形结构和属性面板","50组件流畅浏览"
Epic 6: Sirius Web,US6.3: 需求图,Story,High,1.5,Week 8,"需求层次图和分配关系可视化","拖拽创建分配"
Epic 7: 性能优化,US7.1: 性能优化,Story,High,2,Week 9,"懒加载优化和查询缓存","200+组件流畅操作"
Epic 7: 性能优化,US7.2: 错误处理,Story,Medium,1.5,Week 9,"异常恢复和日志完善","错误不崩溃"
Epic 7: 性能优化,US7.3: Quick Start文档,Story,Low,1.5,Week 9,"README和开发者指南","新人30分钟上手"
